,precision,recall,f1-score,support
b'\xc7\xa9',0.0,0.0,0.0,7.0
b'\xc7\xaa',0.0,0.0,0.0,14.0
b'\xc7\xab',0.0,0.0,0.0,23.0
b'\xc7\xac',0.0,0.0,0.0,16.0
b'\xc7\xad',0.0,0.0,0.0,3.0
b'\xc7\xae',0.0,0.0,0.0,3.0
b'\xc7\xaf',0.0,0.0,0.0,19.0
b'\xc7\xb0',0.0,0.0,0.0,20.0
b'\xc7\xb1',0.0,0.0,0.0,14.0
b'\xc7\xb2',0.0,0.0,0.0,14.0
b'\xc7\xb3',0.0,0.0,0.0,3.0
b'\xc7\xb4',0.0,0.0,0.0,2.0
b'\xc7\xb5',0.0,0.0,0.0,2.0
b'\xc7\xb6',0.0,0.0,0.0,1.0
b'\xc7\xb7',0.0,0.0,0.0,2.0
b'\xc7\xb8',0.0,0.0,0.0,1.0
b'\xc7\xb9',0.0,0.0,0.0,23.0
b'\xc7\xba',0.0,0.0,0.0,17.0
b'\xc7\xbb',0.0,0.0,0.0,17.0
b'\xc7\xbc',0.0,0.0,0.0,10.0
b'\xc7\xbd',0.0,0.0,0.0,1.0
b'\xc7\xbe',0.0,0.0,0.0,1.0
b'\xc7\xbf',0.0,0.0,0.0,1.0
b'\xc8\x80',0.0,0.0,0.0,1.0
b'\xc8\x81',0.0,0.0,0.0,1.0
b'\xc8\x82',0.0,0.0,0.0,6.0
b'\xc8\x83',0.0,0.0,0.0,1.0
b'\xc8\x84',0.0,0.0,0.0,1.0
b'\xc8\x86',0.0,0.0,0.0,1.0
b'\xc8\x87',0.0,0.0,0.0,1.0
b'\xc8\x88',0.0,0.0,0.0,158.0
b'\xc8\x89',0.0,0.0,0.0,5.0
b'\xc8\x8a',0.0,0.0,0.0,3.0
b'\xc8\x8b',0.0,0.0,0.0,64.0
b'\xc8\x8c',0.0,0.0,0.0,2.0
b'\xc8\x8d',0.0,0.0,0.0,1.0
b'\xc8\x8e',0.0,0.0,0.0,1.0
b'\xc8\x8f',0.0,0.0,0.0,1.0
b'\xc8\x90',0.0,0.0,0.0,1.0
b'\xc8\x91',0.0,0.0,0.0,1.0
b'\xc8\x92',0.0,0.0,0.0,1.0
b'\xc8\x93',0.0,0.0,0.0,1.0
b'\xc8\x94',0.0,0.0,0.0,1.0
b'\xc8\x95',0.0,0.0,0.0,1.0
b'\xc8\x96',0.0,0.0,0.0,1.0
b'\xc8\x97',0.0,0.0,0.0,1.0
b'\xc8\x98',0.0,0.0,0.0,1.0
b'\xc8\x99',0.0,0.0,0.0,1.0
b'\xc8\x9a',0.0,0.0,0.0,1.0
b'\xc8\x9b',0.0,0.0,0.0,1.0
b'\xc8\x9c',0.0,0.0,0.0,12.0
b'\xc8\x9d',0.0,0.0,0.0,2.0
b'\xc8\x9e',0.0,0.0,0.0,1.0
accuracy,0.022402846859961988,0.022402846859961988,0.022402846859961988,0.022402846859961988
macro avg,0.004571753785705689,0.0028864822178516756,0.003458908949284039,24729.0
weighted avg,0.035928898851959996,0.022402846859961988,0.026980862061623638,24729.0
