CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3088,2,b'\xc2\xa9',b'\xc2\xa9',1.0,1.0,1.0
3089,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
3090,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3091,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3092,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3093,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3094,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3095,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3096,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3098,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3099,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
3100,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
3101,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3102,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
3104,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3105,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
3106,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3107,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3109,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3110,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
3111,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
3114,2,b'\xc2\xa9',b'\xc2\xa7',0.0,0.0,0.0
3115,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
3116,2,b'\xc2\xa7',b'\xc2\xa7',1.0,1.0,1.0
